serviceid,courtid,name,category,price,stock,images,status
19,104,"Pocari Sweat",consumable,20000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/zds9hubggmgytaqsgij5.png""]",active
20,104,"Trà đá",consumable,5000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706693/p89rxzf3hyhpfhpepsmu.png""]",active
21,105,"Khăn lạnh",consumable,5000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706691/kae1ibi5ldfpjdcpnqgh.png""]",active
22,105,"Revive",consumable,15000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/gfa8ffjpdk7dpqxf4jc1.png""]",active
23,105,"Revive chanh muối",consumable,15000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/msqrr5c44vbj4aomxbph.png""]",active
24,105,"Pocari Sweat",consumable,20000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/zds9hubggmgytaqsgij5.png""]",active
25,105,"Trà đá",consumable,5000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706693/p89rxzf3hyhpfhpepsmu.png""]",active
26,106,"Khăn lạnh",consumable,5000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706691/kae1ibi5ldfpjdcpnqgh.png""]",active
27,106,"Revive",consumable,15000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/gfa8ffjpdk7dpqxf4jc1.png""]",active
28,106,"Revive chanh muối",consumable,15000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/msqrr5c44vbj4aomxbph.png""]",active
29,106,"Pocari Sweat",consumable,20000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/zds9hubggmgytaqsgij5.png""]",active
30,106,"Trà đá",consumable,5000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706693/p89rxzf3hyhpfhpepsmu.png""]",active
31,107,"Khăn lạnh",consumable,5000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706691/kae1ibi5ldfpjdcpnqgh.png""]",active
32,107,"Revive",consumable,15000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/gfa8ffjpdk7dpqxf4jc1.png""]",active
33,107,"Revive chanh muối",consumable,15000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/msqrr5c44vbj4aomxbph.png""]",active
34,107,"Pocari Sweat",consumable,20000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/zds9hubggmgytaqsgij5.png""]",active
35,107,"Trà đá",consumable,5000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706693/p89rxzf3hyhpfhpepsmu.png""]",active
36,108,"Khăn lạnh",consumable,5000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706691/kae1ibi5ldfpjdcpnqgh.png""]",active
37,108,"Revive",consumable,15000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/gfa8ffjpdk7dpqxf4jc1.png""]",active
38,108,"Revive chanh muối",consumable,15000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/msqrr5c44vbj4aomxbph.png""]",active
39,108,"Pocari Sweat",consumable,20000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/zds9hubggmgytaqsgij5.png""]",active
40,108,"Trà đá",consumable,5000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706693/p89rxzf3hyhpfhpepsmu.png""]",active
41,109,"Khăn lạnh",consumable,5000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706691/kae1ibi5ldfpjdcpnqgh.png""]",active
42,109,"Revive",consumable,15000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/gfa8ffjpdk7dpqxf4jc1.png""]",active
43,109,"Revive chanh muối",consumable,15000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/msqrr5c44vbj4aomxbph.png""]",active
44,109,"Pocari Sweat",consumable,20000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/zds9hubggmgytaqsgij5.png""]",active
45,109,"Trà đá",consumable,5000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706693/p89rxzf3hyhpfhpepsmu.png""]",active
46,110,"Khăn lạnh",consumable,5000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706691/kae1ibi5ldfpjdcpnqgh.png""]",active
47,110,"Revive",consumable,15000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/gfa8ffjpdk7dpqxf4jc1.png""]",active
48,110,"Revive chanh muối",consumable,15000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/msqrr5c44vbj4aomxbph.png""]",active
49,110,"Pocari Sweat",consumable,20000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/zds9hubggmgytaqsgij5.png""]",active
50,110,"Trà đá",consumable,5000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706693/p89rxzf3hyhpfhpepsmu.png""]",active
51,111,"Khăn lạnh",consumable,5000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706691/kae1ibi5ldfpjdcpnqgh.png""]",active
52,111,"Revive",consumable,15000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/gfa8ffjpdk7dpqxf4jc1.png""]",active
53,111,"Revive chanh muối",consumable,15000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/msqrr5c44vbj4aomxbph.png""]",active
54,111,"Pocari Sweat",consumable,20000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/zds9hubggmgytaqsgij5.png""]",active
55,111,"Trà đá",consumable,5000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706693/p89rxzf3hyhpfhpepsmu.png""]",active
56,112,"Khăn lạnh",consumable,5000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706691/kae1ibi5ldfpjdcpnqgh.png""]",active
57,112,"Revive",consumable,15000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/gfa8ffjpdk7dpqxf4jc1.png""]",active
58,112,"Revive chanh muối",consumable,15000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/msqrr5c44vbj4aomxbph.png""]",active
59,112,"Pocari Sweat",consumable,20000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/zds9hubggmgytaqsgij5.png""]",active
60,112,"Trà đá",consumable,5000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706693/p89rxzf3hyhpfhpepsmu.png""]",active
61,113,"Khăn lạnh",consumable,5000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706691/kae1ibi5ldfpjdcpnqgh.png""]",active
62,113,"Revive",consumable,15000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/gfa8ffjpdk7dpqxf4jc1.png""]",active
63,113,"Revive chanh muối",consumable,15000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/msqrr5c44vbj4aomxbph.png""]",active
64,113,"Pocari Sweat",consumable,20000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/zds9hubggmgytaqsgij5.png""]",active
65,113,"Trà đá",consumable,5000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706693/p89rxzf3hyhpfhpepsmu.png""]",active
66,114,"Khăn lạnh",consumable,5000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706691/kae1ibi5ldfpjdcpnqgh.png""]",active
67,114,"Revive",consumable,15000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/gfa8ffjpdk7dpqxf4jc1.png""]",active
68,114,"Revive chanh muối",consumable,15000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/msqrr5c44vbj4aomxbph.png""]",active
69,114,"Pocari Sweat",consumable,20000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/zds9hubggmgytaqsgij5.png""]",active
70,114,"Trà đá",consumable,5000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706693/p89rxzf3hyhpfhpepsmu.png""]",active
71,115,"Khăn lạnh",consumable,5000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706691/kae1ibi5ldfpjdcpnqgh.png""]",active
72,115,"Revive",consumable,15000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/gfa8ffjpdk7dpqxf4jc1.png""]",active
73,115,"Revive chanh muối",consumable,15000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/msqrr5c44vbj4aomxbph.png""]",active
74,115,"Pocari Sweat",consumable,20000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/zds9hubggmgytaqsgij5.png""]",active
75,115,"Trà đá",consumable,5000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706693/p89rxzf3hyhpfhpepsmu.png""]",active
76,116,"Khăn lạnh",consumable,5000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706691/kae1ibi5ldfpjdcpnqgh.png""]",active
77,116,"Revive",consumable,15000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/gfa8ffjpdk7dpqxf4jc1.png""]",active
78,116,"Revive chanh muối",consumable,15000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/msqrr5c44vbj4aomxbph.png""]",active
79,116,"Pocari Sweat",consumable,20000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/zds9hubggmgytaqsgij5.png""]",active
80,116,"Trà đá",consumable,5000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706693/p89rxzf3hyhpfhpepsmu.png""]",active
81,117,"Khăn lạnh",consumable,5000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706691/kae1ibi5ldfpjdcpnqgh.png""]",active
82,117,"Revive",consumable,15000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/gfa8ffjpdk7dpqxf4jc1.png""]",active
83,117,"Revive chanh muối",consumable,15000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/msqrr5c44vbj4aomxbph.png""]",active
84,117,"Pocari Sweat",consumable,20000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/zds9hubggmgytaqsgij5.png""]",active
85,117,"Trà đá",consumable,5000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706693/p89rxzf3hyhpfhpepsmu.png""]",active
86,118,"Khăn lạnh",consumable,5000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706691/kae1ibi5ldfpjdcpnqgh.png""]",active
87,118,"Revive",consumable,15000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/gfa8ffjpdk7dpqxf4jc1.png""]",active
88,118,"Revive chanh muối",consumable,15000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/msqrr5c44vbj4aomxbph.png""]",active
89,118,"Pocari Sweat",consumable,20000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/zds9hubggmgytaqsgij5.png""]",active
90,118,"Trà đá",consumable,5000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706693/p89rxzf3hyhpfhpepsmu.png""]",active
91,119,"Khăn lạnh",consumable,5000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706691/kae1ibi5ldfpjdcpnqgh.png""]",active
92,119,"Revive",consumable,15000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/gfa8ffjpdk7dpqxf4jc1.png""]",active
93,119,"Revive chanh muối",consumable,15000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/msqrr5c44vbj4aomxbph.png""]",active
94,119,"Pocari Sweat",consumable,20000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/zds9hubggmgytaqsgij5.png""]",active
95,119,"Trà đá",consumable,5000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706693/p89rxzf3hyhpfhpepsmu.png""]",active
96,120,"Khăn lạnh",consumable,5000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706691/kae1ibi5ldfpjdcpnqgh.png""]",active
97,120,"Revive",consumable,15000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/gfa8ffjpdk7dpqxf4jc1.png""]",active
98,120,"Revive chanh muối",consumable,15000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/msqrr5c44vbj4aomxbph.png""]",active
99,120,"Pocari Sweat",consumable,20000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/zds9hubggmgytaqsgij5.png""]",active
100,120,"Trà đá",consumable,5000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706693/p89rxzf3hyhpfhpepsmu.png""]",active
101,121,"Khăn lạnh",consumable,5000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706691/kae1ibi5ldfpjdcpnqgh.png""]",active
102,121,"Revive",consumable,15000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/gfa8ffjpdk7dpqxf4jc1.png""]",active
103,121,"Revive chanh muối",consumable,15000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/msqrr5c44vbj4aomxbph.png""]",active
104,121,"Pocari Sweat",consumable,20000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/zds9hubggmgytaqsgij5.png""]",active
105,121,"Trà đá",consumable,5000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706693/p89rxzf3hyhpfhpepsmu.png""]",active
106,122,"Khăn lạnh",consumable,5000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706691/kae1ibi5ldfpjdcpnqgh.png""]",active
107,122,"Revive",consumable,15000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/gfa8ffjpdk7dpqxf4jc1.png""]",active
108,122,"Revive chanh muối",consumable,15000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/msqrr5c44vbj4aomxbph.png""]",active
109,122,"Pocari Sweat",consumable,20000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/zds9hubggmgytaqsgij5.png""]",active
110,122,"Trà đá",consumable,5000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706693/p89rxzf3hyhpfhpepsmu.png""]",active
111,123,"Khăn lạnh",consumable,5000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706691/kae1ibi5ldfpjdcpnqgh.png""]",active
112,123,"Revive",consumable,15000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/gfa8ffjpdk7dpqxf4jc1.png""]",active
113,123,"Revive chanh muối",consumable,15000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/msqrr5c44vbj4aomxbph.png""]",active
114,123,"Pocari Sweat",consumable,20000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/zds9hubggmgytaqsgij5.png""]",active
115,123,"Trà đá",consumable,5000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706693/p89rxzf3hyhpfhpepsmu.png""]",active
116,124,"Khăn lạnh",consumable,5000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706691/kae1ibi5ldfpjdcpnqgh.png""]",active
117,124,"Revive",consumable,15000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/gfa8ffjpdk7dpqxf4jc1.png""]",active
118,124,"Revive chanh muối",consumable,15000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/msqrr5c44vbj4aomxbph.png""]",active
119,124,"Pocari Sweat",consumable,20000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/zds9hubggmgytaqsgij5.png""]",active
120,124,"Trà đá",consumable,5000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706693/p89rxzf3hyhpfhpepsmu.png""]",active
121,125,"Khăn lạnh",consumable,5000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706691/kae1ibi5ldfpjdcpnqgh.png""]",active
122,125,"Revive",consumable,15000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/gfa8ffjpdk7dpqxf4jc1.png""]",active
123,125,"Revive chanh muối",consumable,15000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/msqrr5c44vbj4aomxbph.png""]",active
124,125,"Pocari Sweat",consumable,20000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/zds9hubggmgytaqsgij5.png""]",active
125,125,"Trà đá",consumable,5000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706693/p89rxzf3hyhpfhpepsmu.png""]",active
126,126,"Khăn lạnh",consumable,5000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706691/kae1ibi5ldfpjdcpnqgh.png""]",active
127,126,"Revive",consumable,15000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/gfa8ffjpdk7dpqxf4jc1.png""]",active
128,126,"Revive chanh muối",consumable,15000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/msqrr5c44vbj4aomxbph.png""]",active
129,126,"Pocari Sweat",consumable,20000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/zds9hubggmgytaqsgij5.png""]",active
130,126,"Trà đá",consumable,5000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706693/p89rxzf3hyhpfhpepsmu.png""]",active
131,127,"Khăn lạnh",consumable,5000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706691/kae1ibi5ldfpjdcpnqgh.png""]",active
132,127,"Revive",consumable,15000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/gfa8ffjpdk7dpqxf4jc1.png""]",active
133,127,"Revive chanh muối",consumable,15000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/msqrr5c44vbj4aomxbph.png""]",active
134,127,"Pocari Sweat",consumable,20000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/zds9hubggmgytaqsgij5.png""]",active
135,127,"Trà đá",consumable,5000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706693/p89rxzf3hyhpfhpepsmu.png""]",active
136,128,"Khăn lạnh",consumable,5000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706691/kae1ibi5ldfpjdcpnqgh.png""]",active
137,128,"Revive",consumable,15000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/gfa8ffjpdk7dpqxf4jc1.png""]",active
138,128,"Revive chanh muối",consumable,15000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/msqrr5c44vbj4aomxbph.png""]",active
139,128,"Pocari Sweat",consumable,20000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/zds9hubggmgytaqsgij5.png""]",active
140,128,"Trà đá",consumable,5000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706693/p89rxzf3hyhpfhpepsmu.png""]",active
141,129,"Khăn lạnh",consumable,5000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706691/kae1ibi5ldfpjdcpnqgh.png""]",active
142,129,"Revive",consumable,15000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/gfa8ffjpdk7dpqxf4jc1.png""]",active
143,129,"Revive chanh muối",consumable,15000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/msqrr5c44vbj4aomxbph.png""]",active
144,129,"Pocari Sweat",consumable,20000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/zds9hubggmgytaqsgij5.png""]",active
145,129,"Trà đá",consumable,5000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706693/p89rxzf3hyhpfhpepsmu.png""]",active
146,130,"Khăn lạnh",consumable,5000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706691/kae1ibi5ldfpjdcpnqgh.png""]",active
147,130,"Revive",consumable,15000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/gfa8ffjpdk7dpqxf4jc1.png""]",active
148,130,"Revive chanh muối",consumable,15000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/msqrr5c44vbj4aomxbph.png""]",active
149,130,"Pocari Sweat",consumable,20000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/zds9hubggmgytaqsgij5.png""]",active
150,130,"Trà đá",consumable,5000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706693/p89rxzf3hyhpfhpepsmu.png""]",active
